Designator,Footprint,Quantity,Value,LCSC Part #
"_8, _7, _6, _5, _4, _3, _2, ",,8,,
"C1, C4",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,1uF,
D1,LED_3mm_C1A2_Polarity_Indicator,1,R_LED,
D2,LED_3mm_C1A2_Polarity_Indicator,1,L_LED,
D3,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N5819,
J1,1022,1,1020_battery_holder,
J2,PinHeader_2x03_P2.54mm_Vertical,1,Conn_PinHeader_2x03_P2.54mm_Vertical_SMD,
LS1,1W_8Ohm_Speaker,1,Speaker,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1M,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,100k,
"R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,1k,
SW1,SW_PUSH-12mm_Wuerth-430476085716,1,W,
SW2,SW_PUSH-12mm_Wuerth-430476085716,1,A,
SW3,SW_PUSH-12mm_Wuerth-430476085716,1,S,
SW4,SW_PUSH-12mm_Wuerth-430476085716,1,D,
SW5,SW_PUSH-12mm_Wuerth-430476085716,1,I,
SW6,SW_PUSH-12mm_Wuerth-430476085716,1,J,
SW7,SW_PUSH-12mm_Wuerth-430476085716,1,K,
SW8,SW_PUSH-12mm_Wuerth-430476085716,1,L,
SW9,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,Slideswitch,
U1,Generic_1.8Inch_TFT_120x160,1,Adafruit_TFT_ST7735,
U2,Max98357A_ClassD_I2S_Mono_Amp_BreakoutBoard,1,MAX98357AETE+,
U5,RPi_Pico_SMD_TH_mod,1,Pico,
