Designator,Mid X,Mid Y,Rotation,Layer
_8,212.675,-110.3884,0.0,top
_7,92.125,-110.3884,0.0,top
_6,188.291,-110.3884,0.0,top
_5,116.509,-110.3884,0.0,top
_4,188.291,-86.0044,0.0,top
_3,212.675,-86.0044,0.0,top
_2,92.125,-86.0044,0.0,top
,116.509,-86.0044,0.0,top
C1,132.08,-117.475,270.0,top
C4,179.07,-74.97,90.0,top
D1,213.36,-74.295,0.0,top
D2,91.0148,-74.2696,0.0,top
D3,179.07,-84.455,90.0,top
J1,144.6,-93.07,90.0,bottom
J2,186.314,-74.93,0.0,bottom
LS1,121.793,-72.081,90.0,bottom
R1,127.0,-116.205,90.0,top
R2,129.54,-116.205,90.0,top
R3,204.47,-74.295,0.0,top
R4,100.33,-74.295,180.0,top
SW9,184.658,-63.5,0.0,top
U1,152.33,-96.411051,0.0,top
U2,122.7475,-72.094,270.0,bottom
U5,167.132,-86.36,0.0,bottom
