Designator,Mid X,Mid Y,Rotation,Layer
_8,92.125,-110.3884,0.0,top
_7,188.291,-110.3884,0.0,top
_6,116.509,-110.3884,0.0,top
_5,188.291,-86.0044,0.0,top
_4,212.675,-86.0044,0.0,top
_3,92.125,-86.0044,0.0,top
_2,116.509,-86.0044,0.0,top
,212.675,-110.3884,0.0,top
C1,131.826,-116.586,270.0,top
C4,138.704,-62.23,0.0,top
D1,213.36,-74.295,0.0,top
D2,91.0148,-74.2696,0.0,top
D3,149.19,-62.23,0.0,top
J1,144.6,-93.07,90.0,bottom
J2,184.531,-74.915,0.0,bottom
LS1,121.793,-72.081,180.0,bottom
R1,127.0,-117.876,180.0,top
R2,127.0,-115.336,180.0,top
R3,205.74,-74.295,0.0,top
R4,99.06,-74.295,180.0,top
SW9,184.658,-63.5,0.0,top
U1,152.33,-96.411051,0.0,top
U2,123.245,-72.081,270.0,bottom
U5,167.132,-86.36,0.0,bottom
